"estado","estacao","lat","lon","2025/01","2025/02","2025/03","2025/04","2025/05","2025/06","2025/07","2025/08","2025/09","2025/10","2025/11","2025/12"
"Amazonas","A101",-3.10333333,-60.01638888,26.7928374655647,26.4779456193353,26.6617166212534,27.1585535465925,27.5461021505376,27.4781944444444,28.1114709851552,28.710752688172,28.7691771269177,27.9317567567568,28.0762039660057,27.3837874659401
"Amazonas","A110",-8.77666666,-67.33249999,26.2231493943472,26.0284226190476,26.3110215053763,26.3706944444444,26.3036290322581,24.8529166666667,25.0189516129032,26.5930107526882,26.8908205841446,26.8358870967742,26.69125,25.7813765182186
"Amazonas","A112",-7.5525,-63.07138888,26.3822580645161,26.2625,26.7319892473118,26.5061111111111,26.7282258064516,26.4547222222222,25.5963709677419,27.1423387096774,27.1386111111111,26.851747311828,26.9044285714286,26.4055118110236
"Amazonas","A119",-3.29472221,-60.62833332,26.0760330578512,25.7623867069486,26.025,26.6820083682008,26.766935483871,26.7541666666667,27.183064516129,27.5181451612903,27.6218358831711,26.9492597577389,27.2788515406162,26.7286295793758
"Amazonas","A121",-3.13333333,-58.48277777,26.3455048409405,26.0851908396947,26.2526098901099,27.0679665738162,27.0075268817204,26.915,27.0181451612903,27.8516129032258,28.7080892608089,27.8665317139001,27.8300423131171,26.7836289222374
"Amazonas","A128",-0.98722221,-62.92416666,26.593768115942,25.9502283105023,26.7614441416894,26.3895543175487,26.2717741935484,25.8429763560501,26.0375,26.6339165545087,27.0570629370629,26.9735413839891,26.6205056179775,27.2853625170999
"Amazonas","A144",-8.0911111,-60.38055554,25.9027397260274,25.8073795180723,26.2346414073072,26.5993045897079,26.691935483871,26.7884722222222,26.927688172043,27.4385752688172,26.9638386648122,26.6262449528937,27.0857142857143,26.5845730027548
"Pernambuco","A309",-8.4336111,-37.05555555,25.1234185733513,24.0002976190476,25.5194892473118,25.1816666666667,23.2376344086022,21.4573018080668,20.5381401617251,20.9068918918919,21.5379166666667,23.6335588633288,25.7613888888889,26.1369272237197
"Pernambuco","A322",-8.91083333,-36.49333333,23.6534320323015,22.2779761904762,22.9555107526882,23.4084722222222,21.5474462365591,20.1934722222222,18.9307795698925,19.2409946236559,19.6756944444444,20.767876344086,22.9717663421419,23.3274932614555
"Pernambuco","A329",-8.50388888,-39.31527777,27.7176075268817,28.4296130952381,28.6471774193548,28.4398611111111,26.557123655914,25.5129166666667,24.7733870967742,25.3388140161725,26.1483333333333,27.6950268817204,29.4963838664812,29.4966307277628
"Pernambuco","A341",-8.36527777,-36.02833332,22.576747311828,21.6825892857143,22.2474462365591,22.5295833333333,21.1313172043011,19.8902777777778,18.7827956989247,18.9424731182796,19.3066666666667,20.0104838709677,21.7293871866295,22.161051212938
"Pernambuco","A349",-8.50944444,-37.71166666,27.5541666666667,26.5619047619048,27.858064516129,27.49875,25.0288978494624,23.3986111111111,22.7737903225806,23.3358870967742,24.1484722222222,26.1891129032258,28.4770514603616,28.7970350404313
"Pernambuco","A357",-8.66666666,-35.56805554,26.7610215053763,25.8369047619048,26.0423387096774,26.1340277777778,24.8534946236559,23.5441666666667,22.4866935483871,22.6145161290323,23.1495833333333,24.0264784946237,25.7840277777778,26.1981106612686
"Pernambuco","A366",-7.88583333,-40.10277777,26.4186827956989,26.9568452380952,27.5048387096774,26.8926388888889,25.9455732946299,24.7527777777778,24.5879076086957,25.1342780026991,26.0394444444444,27.5333785617368,29.42875,29.2437246963563
"Pernambuco","A370",-8.05805555,-39.0961111,27.7542274052478,28.1291798107256,27.6433751743375,27.1686274509804,26.1575268817204,25.1740740740741,24.307972972973,25.2554655870445,26.1688385269122,28.0589136490251,29.7759124087591,29.6222067039106
"Rio de Janeiro","A601",-22.75777777,-43.68472221,26.6162634408602,28.9818452380952,26.7680107526882,24.0336111111111,22.5043010752688,21.1945833333333,19.2692204301075,21.1047043010753,22.3191549295775,22.8254032258065,23.4625,26.6351752021563
"Rio de Janeiro","A602",-23.05027777,-43.59555555,25.7969086021505,27.5660714285714,25.0824797843666,24.4298245614035,21.5,22.9407514450867,21.2692307692308,21.6374777975133,21.7172222222222,21.4839673913043,22.4020833333333,25.6954177897574
"Rio de Janeiro","A603",-22.58972221,-43.28222221,25.9936827956989,27.6940476190476,26.1775537634409,23.4706536856745,21.2833333333333,20.1669444444444,18.7637096774194,20.2258064516129,21.6627777777778,22.4230148048452,23.2420027816412,26.272102425876
"Rio de Janeiro","A604",-21.58749999,-41.95833333,26.7959623149394,28.2315476190476,26.8365591397849,24.6670833333333,22.2530913978495,20.1284722222222,19.5323924731183,21.1485215053763,22.82625,23.9284722222222,24.8672222222222,26.9839622641509
"Rio de Janeiro","A606",-22.97527777,-42.02138888,25.6780619111709,25.2546130952381,26.5478494623656,24.5075,23.1764784946237,21.9265277777778,20.658064516129,21.3986559139785,21.7405555555556,21.5888290713324,23.072268907563,25.3025606469003
"Rio de Janeiro","A607",-21.71472222,-41.34388888,26.4905913978495,27.6962797619048,26.5879032258065,24.3736111111111,22.6846774193548,21.5486111111111,20.0970430107527,21.0091397849462,21.9086471408647,22.7495967741935,23.9702777777778,25.9342318059299
"Rio de Janeiro","A608",-22.3761111,-41.81194444,25.8396505376344,26.9126488095238,26.1129032258065,23.9858333333333,22.4153225806452,21.4259722222222,19.7590847913863,20.8172043010753,21.6171309192201,21.8045762711864,23.5659436008677,25.785
"Rio de Janeiro","A609",-22.45138888,-44.44499999,24.3820995962315,26.4146268656716,24.6421265141319,22.3567454798331,19.9293405114401,18.5869444444444,17.493135935397,19.3079301075269,20.8777158774373,21.9806451612903,22.5933333333333,25.0371967654987
"Rio de Janeiro","A610",-22.46472222,-43.29138888,16.610752688172,17.802380952381,16.3219086021505,13.7269444444444,12.0732166890983,11.74625,10.1494623655914,11.6561827956989,12.4438888888889,13.157065948856,14.02125,16.9738544474394
"Rio de Janeiro","A618",-22.4486111,-42.98694444,24.0011049723757,22.4420315236427,20.5038978494624,18.1945606694561,16.6356182795699,16.0200557103064,13.4834008097166,15.1615074024226,16.4331015299026,17.4523035230352,17.9407510431154,20.9924528301887
"Rio de Janeiro","A619",-23.2236111,-44.72694443,25.520564516129,27.6172619047619,25.6725806451613,23.5223611111111,21.5608458390177,20.1388978930308,19.8382857142857,21.223185483871,22.1535372848948,21.6447580645161,22.3338440111421,25.5615912208505
"Rio de Janeiro","A620",-22.04166666,-41.05166666,26.4835800807537,27.3977678571429,26.6231182795699,24.9972222222222,23.6966261808367,22.3037762237762,20.7272849462366,21.6224462365591,22.4447075208914,22.7237951807229,23.9123783031989,25.5892037786775
"Rio de Janeiro","A621",-22.86138888,-43.41138888,27.0801075268817,29.5028273809524,27.3677419354839,24.2351388888889,22.080376344086,20.6231944444444,19.0189771197847,20.6790322580645,22.4972067039106,23.40434192673,24.0508333333333,27.1967654986523
"Rio de Janeiro","A624",-22.33472221,-42.67694443,20.0215053763441,20.5357142857143,19.6986559139785,17.7343055555556,15.2349462365591,14.5668055555556,12.0541666666667,13.6298387096774,15.52,16.5717567567568,17.4940277777778,20.1584905660377
"Rio de Janeiro","A625",-22.09833333,-43.20833333,25.5342741935484,26.734375,25.7770161290323,23.0568055555556,20.2038978494624,18.7980555555556,17.5913978494624,19.1913978494624,21.6969444444444,23.0665322580645,23.8495833333333,26.4839622641509
"Rio de Janeiro","A626",-22.653579,-44.040916,23.4847913862719,25.8884730538922,24.0548387096774,21.2825,19.0810483870968,17.9534722222222,16.3383064516129,18.1752688172043,19.5472222222222,20.5584905660377,21.1772346368715,24.1291327913279
"Rio de Janeiro","A627",-22.86749999,-43.10194444,27.7978465679677,30.2769001490313,27.7458950201884,24.9493723849372,23.5513477088949,22.0560224089636,20.3496617050068,21.7711590296496,23.0822222222222,23.60625,24.3291666666667,27.8466307277628
"Rio de Janeiro","A628",-22.97555554,-44.30333333,25.7905913978495,28.2504464285714,25.9310483870968,23.6293055555556,22.0086253369272,20.2713888888889,19.0668010752688,19.9366935483871,21.5718055555556,21.7689516129032,22.5602777777778,25.1958333333333
"Rio de Janeiro","A629",-21.9386111,-42.60083333,28.7438775510204,30.4564102564103,29.1613924050633,26.2860759493671,24.625,22.9685039370079,21.9266666666667,24.1407766990291,22.2004975124378,22.9114247311828,23.6606944444444,25.938948787062
"Rio de Janeiro","A630",-21.95055555,-42.01027777,22.8645161290323,23.7052083333333,22.8634408602151,20.7452777777778,18.4857916102842,16.9945833333333,16.0038978494624,17.029435483871,18.3564853556485,19.6618784530387,20.5887323943662,23.0435309973046
"Rio de Janeiro","A636",-22.93999999,-43.40277777,27.3485611510791,28.197037037037,26.147311827957,23.7533333333333,21.7566621803499,20.2044444444444,18.4743279569892,19.9356050069541,21.5534722222222,22.2677640603567,22.8938803894298,25.7862533692722
"Rio de Janeiro","A637",-22.34722221,-43.41777777,23.5956989247312,24.4208643815201,23.614247311828,21.3841666666667,18.1041722745626,17.23125,15.4704301075269,17.1965053763441,19.5033472803347,20.6799461641992,21.5319888734353,24.2351424694708
"Rio de Janeiro","A652",-22.98833333,-43.19055555,25.4069892473118,26.7144345238095,24.7682795698925,23.54625,22.4936827956989,21.8373611111111,20.6326612903226,21.5924324324324,22.2854748603352,21.4152380952381,23.2351388888889,26.2527433628319
"Rio de Janeiro","A659",-22.64583333,-42.41555555,26.2168010752688,27.803869047619,26.494623655914,23.6788888888889,21.6815217391304,20.0816666666667,18.955376344086,19.9939516129032,21.3681944444444,22.493156424581,23.3231944444444,26.0944217687075
"Rio de Janeiro","A667",-22.8711111,-42.60888888,30.1103658536585,28.8087179487179,24.1590384615385,22.0396610169492,20.1076923076923,20.1480337078652,19.77665317139,20.4761194029851,21.8966480446927,22.5512096774194,23.3607788595271,26.0359504132231
